4,H,2
3,S,2
4,V,2
4,L,2
4,M,2
4,S,2
4,V,2
4,L,2
4,H,2
4,M,2
4,S,2
4,L,2
4,V,2
4,H,2
3,V,2
4,M,2
4,H,2
4,S,2
4,L,2
4,M,2
4,H,2
4,V,2
3,S,2
4,L,2
4,V,2
4,S,2
4,M,2
4,H,2
4,L,2
4,V,2
4,M,2
4,S,2
4,H,2
4,L,2
4,V,2
4,S,2
4,M,2
4,H,2
3,V,2
4,S,2
4,L,2
4,M,2
4,V,2
4,H,2
4,S,2
4,L,2
4,M,2
4,V,2
4,H,2
4,S,2
4,L,2
3,S,2
4,M,2
4,V,2
4,H,2
4,S,2
4,L,2
4,M,2
4,V,2
4,H,2
4,S,2
4,L,2
4,V,2
4,M,2
4,H,2
4,S,2
4,L,2
4,V,2
4,M,2
4,H,2
4,S,2
4,L,2
4,V,2
4,M,2
4,H,2
4,S,2
4,L,2
4,V,2
3,S,2
4,M,2
4,H,2
4,S,2
4,L,2
4,V,2
4,B,0
